Facility.Id,FRS.Id,Facility.Name,City,State,Primary.NAICS.Code,Year,Industry.Type,Sector,Unit.Name,Fuel.Type,Specific.Fuel.Type,Other.Fuel.Name,Blend.Fuel.Name,Methane.emissions,Nitrous.Oxide.emissions
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,1.25,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,**7,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,3,2.98
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,21.25,26.82
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2022,"C,D",Power Plants,GP-engines,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,**7,Natural Gas,Natural Gas (Weighted U.S. Average),,,1,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,**7,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,**8,Natural Gas,Natural Gas (Weighted U.S. Average),,,1,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,**8,Petroleum Products,Distillate Fuel Oil No. 2,,,0,0
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,9,Natural Gas,Natural Gas (Weighted U.S. Average),,,15.75,17.88
1001106,1.10E+11,48th Street Peaking Station,Holland,MI,221112,2021,"C,D",Power Plants,9 - Process Heater,Natural Gas,Natural Gas (Weighted U.S. Average),,,0,0
