Year,Sector,Fuel.Type,Methane.emissions,Industry.Type
2022,Power Plants,2,1.25,"C,D"
2022,Power Plants,2,3,"C,D"
2022,Power Plants,2,21.25,"C,D"
2021,Power Plants,2,1,"C,D"
2021,Power Plants,2,1,"C,D"
2021,Power Plants,2,15.75,"C,D"
2020,Power Plants,2,2.25,"C,D"
2020,Power Plants,2,0.75,"C,D"
2020,Power Plants,2,19.75,"C,D"
2019,Power Plants,2,0.5,"C,D"
2019,Power Plants,2,0.5,"C,D"
2019,Power Plants,2,5.5,"C,D"
2018,Power Plants,2,1,"C,D"
2018,Power Plants,2,2,"C,D"
2018,Power Plants,2,12,"C,D"
2017,Power Plants,2,3.5,"C,D"
2017,Power Plants,2,9.5,"C,D"
2017,Power Plants,2,10.75,"C,D"
2015,Power Plants,2,2.5,"C,D"
2015,Power Plants,2,2.25,"C,D"
2015,Power Plants,2,0.75,"C,D"
2014,Power Plants,2,1.5,"C,D"
2014,Power Plants,2,1.75,"C,D"
2014,Power Plants,4,0.25,"C,D"
2014,Power Plants,2,2.25,"C,D"
2013,Power Plants,2,0.75,"C,D"
2013,Power Plants,2,1,"C,D"
2013,Power Plants,2,2.75,"C,D"
2012,Power Plants,2,1.75,"C,D"
2012,Power Plants,2,1.5,"C,D"
2012,Power Plants,2,10.5,"C,D"
2011,Power Plants,2,0.25,"C,D"
2011,Power Plants,4,0.25,"C,D"
2011,Power Plants,2,1.25,"C,D"
2011,Power Plants,2,3,"C,D"
2022,Power Plants,2,59.75,C
2021,Power Plants,2,49.25,C
2020,Power Plants,2,40.5,C
2019,Power Plants,2,3.75,C
2019,Power Plants,2,34.75,C
2018,Power Plants,2,5.75,C
2018,Power Plants,2,41.75,C
2017,Power Plants,2,5,C
2017,Power Plants,2,40,C
2016,Power Plants,2,5,C
2016,Power Plants,2,39.25,C
2015,Power Plants,2,4.75,C
2015,Power Plants,2,40,C
2014,Power Plants,2,6.25,C
2014,Power Plants,2,45.25,C
2013,Power Plants,2,5.25,C
2013,Power Plants,2,42.25,C
2012,Power Plants,2,3.5,C
2012,Power Plants,2,38.5,C
2011,Power Plants,2,6.25,C
2011,Power Plants,2,44.75,C
2016,Power Plants,1,65.25,"C,D"
2016,Power Plants,1,76.25,"C,D"
